Month/Year,Total,Export,Import
Jan. 2023,85.78,53.63,32.15
Feb. 2023,81.8,47.33,34.47
Mar. 2023,90.0,55.03,34.97
Apr. 2023,87.96,55.93,32.02
May 2023,104.96,60.74,44.23
Jun. 2023,80.99,51.94,29.05
Jul. 2023,102.82,67.25,35.56
Aug. 2023,103.52,66.59,36.93
Sep. 2023,97.3,68.97,28.33
Oct. 2023,107.81,71.82,36.0
Nov. 2023,104.67,78.22,26.45
Dec. 2023,123.55,84.89,38.66
Jan. 2024,144.35,83.97,60.38
Feb. 2024,109.72,71.12,38.6
Mar. 2024,144.02,91.16,52.86
Apr. 2024,139.28,101.55,37.73
May 2024,114.49,82.81,31.69
Jun. 2024,131.66,90.5,41.17
Jul. 2024,151.22,114.51,36.7
Aug. 2024,151.59,118.83,32.76
Sep. 2024,121.58,87.81,33.77
Oct. 2024,118.77,86.5,32.27
Nov. 2024,117.04,86.49,30.55
Dec. 2024,134.86,98.45,36.41
Jan. 2025,113.68,84.55,29.13
